,CodeVehicule_id,puissanceFiscal,typeImmatriculation,energie,dateInsertion,codeMarque,numImmatriculation
1107780,1543306,8,TU,GASOIL,2018-10-22,376,6296TU207
1107781,1543374,6,TU,ESSENCE,2018-10-26,30,7961TU74
1107782,1543385,6,TU,ESSENCE,2018-10-26,206,7176TU207
1107783,1543414,6,CD,ESSENCE,2018-10-26,107,918CD24
1107784,1543426,5,TU,ESSENCE,2018-10-29,808,7423TU207
1107785,1543499,4,TU,ESSENCE,2018-08-08,29,3078TU76
1107786,1543505,5,TU,ESSENCE,2018-07-31,12,281TU71
1107787,1543506,5,RS,GASOIL,2018-07-31,105,RS160670
1107788,1543510,5,TU,GASOIL,2018-10-31,323,1620TU204
1107789,1543519,6,RS,ESSENCE,2018-10-31,96,RS185296
1107790,1543520,8,TU,ESSENCE,2018-10-31,103,7111TU203
1107791,1543523,6,TU,GASOIL,2018-10-31,29,7729TU207
1107792,1353841,5,TU,GASOIL,2018-02-13,29,2172TU168
1107793,1354634,11,TU,GASOIL,2018-02-12,338,1204TU80
1107794,1354690,4,TU,ESSENCE,2018-02-13,107,8037TU126
1107795,1347172,7,TU,GASOIL,2018-02-13,29,3190TU176
1107796,1349005,10,TU,GASOIL,2018-02-13,184,4365TU180
1107797,1349025,6,TU,GASOIL,2018-02-13,323,7336TU169
1107798,1350311,5,TU,ESSENCE,2018-02-13,206,6948TU180
1107799,1352333,4,TU,ESSENCE,2018-02-13,119,7171TU168
1107800,1352432,10,TU,GASOIL,2018-02-13,347,2148TU160
1107801,1352985,5,TU,ESSENCE,2018-02-21,107,9762TU147
1107802,1354569,5,TU,ESSENCE,2018-02-13,107,727TU176
1107803,1356460,4,TU,GASOIL,2018-02-12,30,6024TU130
1107804,1357296,7,TU,GASOIL,2018-02-12,30,6874TU105
1107805,1541271,6,TU,ESSENCE,2018-10-03,206,3470TU207
1107806,1541278,7,TU,ESSENCE,2018-09-27,152,2310TU207
1107807,1541300,7,TU,GASOIL,2018-10-12,871,5358TU207
1107808,1541309,6,TU,ESSENCE,2018-10-11,4896,5064TU207
1107809,1541331,4,TU,ESSENCE,2018-10-18,206,5859TU207
1107810,1541404,5,TU,GASOIL,2018-10-07,107,4101TU207
1107811,1541407,8,TU,GASOIL,2018-10-16,376,5457TU207
1107812,1541419,4,TU,ESSENCE,2018-09-25,238,1743TU207
1107813,1541434,5,TU,ESSENCE,2018-09-27,646,2366TU207
1107814,1541439,4,TU,ESSENCE,2018-10-09,107,4607TU207
1107815,1541445,7,TU,ESSENCE,2018-10-26,152,7241TU207
1107816,1541456,4,TU,ESSENCE,2018-10-12,30,5285TU207
1107817,1541484,5,TU,ESSENCE,2018-10-11,30,4773TU207
1107818,1541530,5,TU,ESSENCE,2018-10-18,30,6021TU207
1107819,1541534,5,TU,GASOIL,2018-09-29,12,2645TU207
1107820,1541559,5,TU,GASOIL,2018-10-11,107,4980TU207
1107821,1541600,9,TU,ESSENCE,2018-07-31,178,5450TU192
1107822,1541634,4,TU,ESSENCE,2018-10-26,12,7255TU207
1107823,1541717,5,TU,ESSENCE,2018-10-23,503,6512TU207
1107824,1541718,5,TU,GASOIL,2018-10-26,12,6653TU207
1107825,1541732,34,TU,GASOIL,2018-10-16,368,5478TU207
1107826,1541738,4,-,ESSENCE,2018-10-29,119,11-364100
1107827,1541761,6,TU,ESSENCE,2018-09-29,178,2715TU207
1107828,1541775,5,RS,GASOIL,2018-10-02,29,RS184476
1107829,1541863,5,TU,ESSENCE,2018-10-18,503,5976TU207
1107830,1541870,6,TU,ESSENCE,2018-10-11,156,4823TU207
1107831,1541912,5,RS,ESSENCE,2018-10-07,107,RS184563
1107832,1541927,4,TU,ESSENCE,2018-10-11,12,4651TU207
1107833,1541935,7,TU,GASOIL,2018-10-03,94,3704TU207
1107834,1541960,27,ES,GASOIL,2018-10-09,503,ES31981
1107835,1542013,5,TU,GASOIL,2018-10-26,12,7263TU207
1107836,1542026,5,TU,ESSENCE,2018-10-19,808,6105TU207
1107837,1542032,5,TU,ESSENCE,2018-10-03,503,3669TU207
1107838,1542054,10,TU,GASOIL,2018-10-15,503,5369TU207
1107839,1355385,5,TU,ESSENCE,2018-02-13,30,5930TU181
1107840,1356427,5,TU,ESSENCE,2018-02-13,30,7117TU147
1107841,1356759,12,TU,GASOIL,2018-02-12,121,387TU36
1107842,1357639,4,TU,ESSENCE,2018-02-13,808,9846TU143
1107843,1359343,10,TU,GASOIL,2018-02-13,347,4974TU130
1107844,1376609,6,TU,GASOIL,2018-02-13,323,6588TU184
1107845,1376844,10,TU,GASOIL,2018-02-13,152,6428TU175
1107846,1376971,6,TU,ESSENCE,2018-02-13,107,5150TU185
1107847,1542057,7,TU,ESSENCE,2018-10-11,139,4881TU207
1107848,1542066,5,TU,GASOIL,2018-07-31,12,7467TU196
1107849,1542067,8,TU,GASOIL,2018-10-22,376,6292TU207
1107850,1542623,5,TU,ESSENCE,2018-09-27,646,2489TU207
1107851,1542651,7,RS,ESSENCE,2018-07-31,338,RS94478
1107852,1542658,5,TU,GASOIL,2018-10-07,29,9001TU115
1107853,1542694,9,TU,GASOIL,2018-07-31,29,8929TU72
1107854,1542711,6,TU,ESSENCE,2018-10-03,96,3599TU207
1107855,1376569,5,TU,GASOIL,2018-02-13,119,7412TU166
1107856,1384491,4,TU,ESSENCE,2018-02-12,29,6191TU74
1107857,1386037,10,TU,GASOIL,2018-02-12,35,4319TU61
1107858,1386297,8,TU,GASOIL,2018-02-13,178,8218TU192
1107859,1386935,6,TU,GASOIL,2018-02-13,29,4925TU120
1107860,1387090,16,ES,GASOIL,2018-02-13,358,ES19450
1107861,1388056,8,TU,GASOIL,2018-02-13,178,6042TU199
1107862,1388747,6,TU,GASOIL,2018-02-13,338,5896TU200
1107863,1390594,5,TU,ESSENCE,2018-02-13,30,31TU152
1107864,1390788,5,TU,ESSENCE,2018-02-13,30,5942TU181
1107865,1392660,4,TU,ESSENCE,2018-02-21,30,8395TU91
1107866,1392961,7,TU,ESSENCE,2018-02-13,93,2702TU112
1107867,1393179,5,TU,ESSENCE,2018-02-13,96,5834TU121
1107868,1393195,4,TU,ESSENCE,2018-02-13,29,7066TU114
1107869,1393993,5,TU,ESSENCE,2018-02-13,206,8456TU159
1107870,1394919,8,RS,ESSENCE,2018-02-13,178,RS142627
1107871,1395557,6,TU,ESSENCE,2018-02-12,107,3420TU72
1107872,1377173,6,TU,GASOIL,2018-02-13,323,351TU195
1107873,1377332,6,TU,GASOIL,2018-02-13,29,4781TU184
1107874,1377539,5,TU,GASOIL,2018-02-13,12,8779TU176
1107875,1377839,8,TU,GASOIL,2018-02-13,376,1146TU175
1107876,1378389,5,TU,ESSENCE,2018-02-13,12,4976TU177
1107877,1379360,6,TU,ESSENCE,2018-02-13,12,8086TU184
1107878,1379365,15,TU,ESSENCE,2018-02-13,198,2733TU202
1107879,1380574,5,TU,ESSENCE,2018-02-13,338,3895TU170
1107880,1383475,5,TU,ESSENCE,2018-02-13,107,1703TU200
1107881,1383637,12,TU,GASOIL,2018-02-13,96,6880TU121
1107882,1384819,4,TU,ESSENCE,2018-02-12,107,1326TU82
1107883,1391896,4,TU,ESSENCE,2018-02-12,119,3900TU54
1107884,1392391,4,TU,ESSENCE,2018-02-13,178,1335TU201
1107885,1393925,20,TU,ESSENCE,2018-02-13,103,5042TU179
1107886,1395647,7,TU,ESSENCE,2018-02-13,93,5570TU105
1107887,1492306,5,TU,ESSENCE,2018-02-13,178,625TU180
1107888,1492505,12,TU,GASOIL,2018-02-12,121,4710TU52
1107889,1492691,7,TU,GASOIL,2018-02-12,103,4612TU70
1107890,1493458,4,TU,GASOIL,2018-02-12,198,6489TU71
